year,month,day,hour,minute,second,RMS,longitude,latitude,depth,magnitude
1980,10,19,12,22,0,0.9,-84.979,9.623,13.2,2.9
1980,10,20,2,32,0,0.6,-85.334,8.875,20,3.9
1980,10,20,18,40,0,0.8,-84.115,9.063,15,2.8
1980,10,20,19,38,0,0.2,-85.277,8.907,20,3.5
1980,10,22,1,34,0,0.1,-83.875,9.095,8.5,3.3
1980,10,22,8,28,0,0.5,-85.344,8.795,33.1,3.4
1980,10,22,8,44,0,0.8,-85.439,8.785,38.4,3
1980,10,22,9,52,0,0.2,-84.517,9.566,13.6,3.5
1980,11,2,18,25,0,0,-84.957,9.641,11.7,4.8
1980,11,3,23,33,0,0.5,-84.555,9.427,20,3.9
1980,11,4,7,5,0,0.8,-84.445,9.523,28,2.8
1980,11,5,1,32,0,0.4,-84.226,9.388,47.5,1.7
1980,11,8,3,37,0,0.5,-83.757,9.301,2.3,3.5
1980,11,8,6,6,0,0.4,-84.178,9.356,8.4,3.3
1980,11,8,21,52,0,0.8,-83.732,9.289,1.4,3.3
1980,11,9,1,58,0,0.3,-84.205,9.444,25.9,2.9
1980,11,12,7,59,0,0.6,-83.655,9.177,29.3,3.7
1980,11,12,10,57,0,0.2,-84.517,9.491,26.7,3.3
1980,11,13,0,49,0,0,-84.201,9.576,55.8,2.8
1980,11,13,5,56,0,0.2,-83.915,8.748,33.1,3.7
1980,11,14,12,9,0,0,-84.802,9.686,53.1,4.8
1980,11,16,4,11,0,0.1,-83.977,9.432,35.9,3.3
1980,11,18,20,15,0,0.1,-84.34,9.732,100.7,3
1980,11,19,21,32,0,0.5,-84.194,8.782,4.4,4
1980,11,20,0,12,0,1,-85.049,9.278,20.8,3.2
1980,11,24,15,23,0,0.1,-84.34,9.482,20.1,2.5
1980,11,29,4,9,0,0.4,-85.772,10.863,20,3.8
1980,11,29,8,57,0,1,-84.59,9.442,13.3,2.9
1980,11,30,7,6,0,0.9,-82.273,8.28,20,2
1980,12,2,2,40,0,0.3,-84.617,9.369,2.5,4.3
1980,12,2,3,56,0,0.3,-84.677,9.256,1,3.4
1980,12,5,2,14,0,0.2,-84.275,9.351,27.3,2.5
1980,12,5,10,40,0,0.5,-84.257,10.126,101,3
1980,12,6,22,4,0,0,-84.219,9.469,28.7,4.2
1980,12,7,1,54,0,0,-84.159,9.531,40,4.5
1980,12,7,11,36,0,0,-83.915,9.683,20,3.9
1980,12,7,18,26,0,0.2,-84.237,9.465,27.9,3.5
1980,12,7,21,41,0,0.3,-84.256,9.494,1,2.8
1980,12,8,18,44,0,0.2,-84.094,9.132,16.3,3.5
1980,12,8,23,44,0,0.4,-83.844,8.983,8.9,2.9
1980,12,10,10,59,0,0.9,-85.133,9.352,20,3.3
1980,12,13,2,58,0,0.3,-84.665,9.327,16.9,2.7
1980,12,13,20,20,0,0.1,-84.145,9.378,44.7,3.2
1980,12,17,20,48,0,0.5,-84.918,9.655,12.4,3
1980,12,28,1,38,0,0.8,-83.949,8.83,20,2.9
1980,12,29,9,35,0,1,-84.324,9.208,39.7,2.4
1981,1,7,22,51,0,0,-84.047,9.899,9.3,4.2
1981,1,10,22,1,0,0.4,-84.159,10.265,85.8,3.4
1981,1,14,12,25,0,0.5,-83.957,9.098,38.5,2.9
1981,1,25,0,25,0,0.8,-83.916,9.703,26,3.9
1981,1,27,7,12,0,0.4,-83.888,9.553,39.5,3.5
1981,1,30,7,29,0,0.5,-82.516,9.369,21.8,4.9
1981,1,30,9,39,0,1,-83.874,9.385,36.9,4
1981,2,26,17,54,0,0,-84.013,9.861,1.6,2.9
1981,3,21,21,4,0,0,-84.373,10.095,20,4.2
1981,3,26,8,29,0,0,-83.467,8.152,20,5
1981,4,3,6,22,0,0.3,-83.97,9.023,1,3.7
1981,4,8,1,3,0,0.5,-84.199,9,42.4,3.2
1981,4,11,19,6,0,0.7,-84.245,9.846,20,4.2
1981,4,12,1,6,0,0,-84.271,9.803,6.8,3.5
1981,4,12,10,8,0,0.5,-84.504,9.706,5,3.9
1981,4,15,11,31,0,0.6,-84.904,9.277,13.1,2.5
1981,4,15,18,45,0,0.6,-84.92,9.209,12.9,3.2
1981,4,23,3,25,0,0.5,-84.592,9.55,10.7,2.5
1981,4,24,13,55,0,0,-84.283,9.608,20,3.5
1981,5,5,19,30,0,0.1,-83.944,9.398,26.2,3.5
1981,5,8,4,29,0,0.4,-83.814,9.705,72.4,3.5
1981,5,12,16,20,0,0.5,-83.587,9.803,7.9,3
1981,5,14,10,43,0,0.4,-84.06,9.387,13.1,2.2
1981,5,15,12,19,0,0.1,-83.96,8.941,21,4.2
1981,5,16,5,42,0,1,-84.504,9.34,24.6,3.2
1981,5,17,12,43,0,0,-82.823,9.501,9,5
1981,5,19,2,27,0,0.2,-84.914,9.643,43.9,3.5
1981,5,19,6,45,0,0.6,-83.935,9.563,41.1,3.2
1981,5,27,20,11,0,0.5,-84.998,9.37,6.8,3.2
1981,5,28,13,23,0,0.4,-84.395,9.402,3.6,2.7
1981,5,29,1,14,0,0.6,-83.818,9.579,59.9,3
1981,6,3,2,46,0,0.5,-83.764,9.134,37.3,3
1981,6,3,2,46,0,0.5,-83.764,9.134,37.3,3
1981,6,4,3,52,0,0.6,-84.962,9.511,20,3.2
1981,6,4,11,51,0,1,-84.525,10.953,33.4,2.9
1981,6,10,9,36,0,0.3,-84.451,9.447,25,3.7
1981,6,10,10,55,0,0.5,-84.353,9.562,54.1,3.3
1981,6,13,4,32,0,0.7,-83.728,9.532,2.2,2.8
1981,6,14,11,55,0,0.1,-84.066,8.768,12.6,2.5
1981,6,15,23,14,0,0.6,-84.948,8.977,21.2,3.7
1981,6,16,6,43,0,0.5,-83.099,8.41,7.6,3.7
1981,6,22,1,47,0,0.3,-84.096,9.453,55.1,2.9
1981,6,23,6,20,0,0.5,-83.127,10.587,21.7,2.9
1981,6,23,12,2,0,0.2,-84.12,8.861,31.1,3.7
1981,6,24,19,20,0,0.7,-84.92,9.607,12.1,3.8
1981,6,24,22,39,0,1,-82.923,8.349,34,4.8
1981,6,25,7,24,0,0,-85.284,9.454,44.6,4.8
1981,7,1,17,19,0,0.4,-83.655,9.098,29.9,2.8
1981,7,14,6,57,0,0,-83.639,9.364,20,5.3
1981,7,24,7,9,0,1,-84.358,9.015,9,3.8
1981,7,28,22,57,0,0.9,-84.197,9.36,1,3.5
1981,7,29,1,31,0,1,-84.316,9.424,3,2.4
1981,8,2,17,22,0,0.4,-83.916,9.264,44.4,2.8
1981,8,3,6,52,0,0.6,-84.092,8.865,11.4,2.9
1981,8,4,8,44,0,0.5,-84.579,9.401,13.8,4.7
1981,8,4,21,42,0,0.9,-84.984,9.696,13.5,2.8
1981,8,5,7,43,0,1,-84.228,8.842,6.4,3.4
1981,8,5,10,0,0,0.6,-83.974,9.774,1.1,3
1981,8,5,10,16,0,0.8,-84.081,9.746,1,1.9
1981,8,6,5,26,0,0.7,-84.938,10.307,20,3.2
1981,8,6,7,19,0,0,-83.51,8.315,1,4.8
1981,8,6,7,22,0,0,-83.471,8.327,1,4.3
1981,8,6,8,2,0,0.8,-83.39,8.334,1,4
1981,8,6,8,11,0,0,-83.402,8.304,1,5.3
1981,8,6,9,0,0,0.8,-83.459,8.291,1,3.4
1981,8,7,11,43,0,0.9,-84.929,9.7,13.4,4
1981,8,8,13,12,0,0.4,-84.177,9.605,69.2,3
1981,8,12,4,8,0,0.3,-84.575,9.522,27.4,2.7
1981,8,15,5,33,0,0.6,-84.881,9.356,13.1,3
1981,9,2,6,49,0,0,-84.131,11.055,51.7,4.2
1981,10,6,20,38,0,0,-84.489,9.575,1,4.4
1981,10,8,2,0,0,0.4,-84.887,9.578,13.1,4.3
1981,10,14,3,41,0,0,-84.411,9.614,57.5,4.2
1981,10,20,18,48,0,0,-84.927,9.599,26.1,4.5
1981,11,10,20,46,0,0,-84.288,8.743,15.4,5
1981,11,12,3,32,0,0,-84.23,8.88,12.2,4.8
1982,1,3,9,8,0,0,-83.809,9.973,3.1,4.2
1982,1,19,5,13,0,0.6,-83.608,9.259,11.7,2.8
1982,1,26,1,17,0,0.2,-84.479,9.665,27.3,3.4
1982,1,26,18,43,0,0,-83.92,9.486,51.7,4.5
1982,1,27,21,14,0,0.8,-83.535,10.222,69.7,2.9
1982,1,28,8,51,0,0.4,-85.384,9.859,46.3,3.9
1982,2,5,14,23,0,0,-84.275,10.281,7.2,2.5
1982,2,8,7,20,0,0,-84.25,9.439,14.7,4.4
1982,2,9,11,41,0,0,-84.152,10.175,5.7,3.4
1982,2,9,11,51,0,0,-84.145,10.284,20,2.4
1982,2,12,13,35,0,0,-84.1,9.209,10.7,4.5
1982,2,13,13,26,0,0,-83.698,9.265,9.9,4.5
1982,2,13,14,2,0,0,-83.727,9.315,27.3,3.5
1982,2,19,20,50,0,1,-84,8.899,20,4.2
1982,2,23,15,1,0,0.6,-83.514,7.957,20,4.7
1982,2,26,8,48,0,0,-84.13,9.863,13,2.3
1982,2,26,8,56,0,0,-84.129,9.871,13,2.4
1982,3,1,20,17,0,0.7,-83.862,9.679,14.6,3.3
1982,3,4,3,22,0,0.5,-84.314,10.093,77.7,3.3
1982,3,4,8,7,0,0,-84.478,9.653,91.6,4.7
1982,3,6,7,42,0,0,-84.125,9.942,11.8,2.3
1982,3,7,4,37,0,0.6,-84.104,9.776,72.9,3.4
1982,3,13,14,45,0,0.8,-83.143,8.829,20,3.8
1982,3,15,1,33,0,0.4,-84.947,9.706,20,3.7
1982,3,16,4,15,0,0,-82.144,8.506,20,5.3
1982,3,16,18,57,0,0,-82.988,7.173,15.7,5.1
1982,3,17,7,53,0,0.4,-82.431,8.406,13,3.8
1982,3,20,4,17,0,0,-83.303,7.569,19.5,5
1982,3,20,9,50,0,0,-82.822,7.296,16.1,5.1
1982,3,21,13,31,0,0.7,-84.042,9.043,62.9,3.8
1982,3,21,19,5,0,0,-83,9.267,20,4.9
1982,3,22,16,29,0,0.3,-84.046,9.675,49.7,2.4
1982,3,22,20,24,0,0.9,-82.957,7.987,20,4.9
1982,3,23,9,15,0,0.2,-84.558,9.442,20,3.5
1982,3,25,5,33,0,0.6,-83.727,10.663,73.4,3.3
1982,3,25,16,59,0,0.5,-85.004,10.074,49.8,3
1982,3,27,6,51,0,0.8,-86.434,11.041,20,4.5
1982,3,28,12,34,0,0.8,-86.494,11.255,24.1,5
1982,3,29,13,12,0,0,-83.107,7.244,13.6,5.5
1982,4,7,19,21,0,0,-86.116,11.211,20,5.3
1982,4,26,8,48,0,0.5,-83.762,11.194,20,2.7
